algoritmo,ensaio,densidade,nvertices,tempo,memoria
kruskal,7,0.9,1000,0.82,293.20
kruskal,8,0.9,1000,0.83,293.04
kruskal,9,0.9,1000,0.82,293.28
kruskal,10,0.9,1000,0.83,293.80
kruskal,1,0.9,5000,34.59,5409.16
kruskal,2,0.9,5000,34.41,5407.99
kruskal,3,0.9,5000,34.22,5409.43
kruskal,4,0.9,5000,34.46,5407.35
kruskal,5,0.9,5000,34.24,5409.89
kruskal,6,0.9,5000,34.60,5408.50
kruskal,7,0.9,5000,34.35,5406.92
kruskal,8,0.9,5000,34.30,5406.46
kruskal,9,0.9,5000,34.71,5409.40
kruskal,10,0.9,5000,34.50,5406.03
kruskal,1,1,1000,0.89,310.18
kruskal,2,1,1000,0.90,310.07
kruskal,3,1,1000,0.88,309.99
kruskal,4,1,1000,0.89,310.06
kruskal,5,1,1000,0.88,309.65
kruskal,6,1,1000,0.90,310.32
kruskal,7,1,1000,0.89,309.82
kruskal,8,1,1000,0.89,309.38
kruskal,9,1,1000,0.88,310.02
kruskal,10,1,1000,0.88,310.29
kruskal,1,1,5000,36.93,5878.13
kruskal,2,1,5000,37.03,5877.64
kruskal,3,1,5000,37.18,5878.29
kruskal,4,1,5000,37.24,5877.70
kruskal,5,1,5000,37.02,5877.80
kruskal,6,1,5000,37.19,5877.42
kruskal,7,1,5000,36.66,5878.31
kruskal,8,1,5000,36.71,5878.29
kruskal,9,1,5000,36.96,5878.27
kruskal,10,1,5000,37.00,5878.16
prim,1,0.3,1000,0.53,137.04
prim,2,0.3,1000,0.56,136.95
prim,3,0.3,1000,0.54,137.06
prim,4,0.3,1000,0.55,137.37
prim,5,0.3,1000,0.52,137.12
prim,6,0.3,1000,0.54,137.36
prim,7,0.3,1000,0.53,137.00
prim,8,0.3,1000,0.53,136.93
prim,9,0.3,1000,0.56,137.07
prim,10,0.3,1000,0.54,137.18
prim,1,0.3,5000,19.04,1677.30
prim,2,0.3,5000,19.25,1677.37
prim,3,0.3,5000,19.38,1676.41
prim,4,0.3,5000,19.12,1676.98
prim,5,0.3,5000,19.22,1676.88
prim,6,0.3,5000,19.05,1676.13
prim,7,0.3,5000,19.25,1676.62
prim,8,0.3,5000,19.10,1676.73
prim,9,0.3,5000,19.17,1677.11
prim,10,0.3,5000,19.08,1676.62
prim,1,0.6,1000,1.21,193.05
prim,2,0.6,1000,1.20,192.64
prim,3,0.6,1000,1.24,192.83
prim,4,0.6,1000,1.20,192.85
prim,5,0.6,1000,1.21,192.80
prim,6,0.6,1000,1.21,192.88
prim,7,0.6,1000,1.19,193.16
prim,8,0.6,1000,1.22,192.85
prim,9,0.6,1000,1.19,192.75
prim,10,0.6,1000,1.21,193.00
prim,1,0.6,5000,42.25,3254.87
prim,2,0.6,5000,41.92,3254.12
prim,3,0.6,5000,42.79,3254.44
prim,4,0.6,5000,42.27,3254.28
prim,5,0.6,5000,42.23,3254.64
prim,6,0.6,5000,41.85,3250.41
prim,7,0.6,5000,42.30,3254.34
prim,8,0.6,5000,42.57,3253.93
prim,9,0.6,5000,41.97,3255.68
prim,10,0.6,5000,42.23,3254.76
prim,1,0.9,1000,2.00,257.67
prim,2,0.9,1000,1.91,257.48
prim,3,0.9,1000,1.96,257.55
prim,4,0.9,1000,1.93,257.61
prim,5,0.9,1000,1.95,257.46
prim,6,0.9,1000,1.90,257.26
prim,7,0.9,1000,1.94,257.93
prim,8,0.9,1000,1.92,257.59
prim,9,0.9,1000,1.94,257.67
prim,10,0.9,1000,1.96,257.41
prim,1,0.9,5000,67.81,4458.85
prim,2,0.9,5000,67.97,4458.72
prim,3,0.9,5000,68.29,4457.86
prim,4,0.9,5000,67.72,4453.95
prim,5,0.9,5000,68.06,4455.88
prim,6,0.9,5000,68.16,4457.33
prim,7,0.9,5000,67.51,4457.11
prim,8,0.9,5000,66.58,4456.85
prim,9,0.9,5000,67.67,4457.71
prim,1,1,1000,2.21,270.70
prim,2,1,1000,2.21,270.71
prim,3,1,1000,2.21,270.97
prim,4,1,1000,2.18,270.66
prim,5,1,1000,2.22,270.72
prim,6,1,1000,2.23,270.98
prim,7,1,1000,2.22,270.73
prim,8,1,1000,2.18,270.95
prim,9,1,1000,2.26,270.87
prim,10,1,1000,2.16,271.05
prim,1,1,5000,75.72,4820.14
prim,2,1,5000,75.44,4820.09
prim,3,1,5000,74.53,4820.01
prim,4,1,5000,75.39,4820.11
prim,5,1,5000,74.85,4820.24
prim,6,1,5000,74.59,4820.25
prim,7,1,5000,75.24,4820.14
prim,8,1,5000,75.54,4820.12
prim,9,1,5000,75.15,4820.16
prim,10,1,5000,75.00,4820.24
prim,1,0.3,250,0.063670,82.70
prim,2,0.3,250,0.065433,83.00
prim,3,0.3,250,0.068612,82.95
prim,4,0.3,250,0.065032,82.91
prim,5,0.3,250,0.066279,83.01
prim,6,0.3,250,0.068238,82.72
prim,7,0.3,250,0.064170,82.85
prim,8,0.3,250,0.065705,82.90
prim,9,0.3,250,0.064553,82.65
prim,10,0.3,250,0.062101,82.88
prim,1,0.3,500,0.251148,93.94
prim,2,0.3,500,0.231286,94.05
prim,3,0.3,500,0.280221,93.98
prim,4,0.3,500,0.261919,94.17
prim,5,0.3,500,0.252763,93.75
prim,6,0.3,500,0.263233,93.83
prim,7,0.3,500,0.268350,93.78
prim,8,0.3,500,0.275352,94.03
prim,9,0.3,500,0.258561,94.29
prim,10,0.3,500,0.286393,93.81
prim,1,0.6,250,0.122693,85.88
prim,2,0.6,250,0.122269,85.77
prim,3,0.6,250,0.116890,86.22
